"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgweapons_trumpet1","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.","$UNT$A pump-action rifle, which can be quickly disassembled into two pieces, significantly reducing it's length, making it easier to store, pack, transport and conceal.",
"str_iz_cfgweapons_trumpet0","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet","$UNT$Trumpet",

"str_iz_cfgweapons_sks_green0","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is green painted.",
"str_iz_cfgweapons_sks_black0","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.","$UNT$The SKS is a Soviet semi-automatic carbine. In the early 1950s, the Soviets took the SKS carbine out of front-line service and replaced it with the AK-47; however, the SKS remained in second-line service for decades. It is still used as a ceremonial arm today. This one is black painted.",

"str_iz_cfgweapons_scout_green0","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with green color stock.",
"str_iz_cfgweapons_scout_black0","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.","$UNT$The Scout Rifle provides the absolute solution for both versatility and accuracy in a lightweight bolt-action rifle platform. This one comes with black color stock.",

"str_iz_cfgweapons_sawedoffmosin9130_green0","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.","$UNT$Green painted Sawed-off Mosin 91/30 military rifle.",
"str_iz_cfgweapons_sawedoffmosin9130_camo0","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.","$UNT$Camo painted Sawed-off Mosin 91/30 military rifle.",
"str_iz_cfgweapons_sawedoffmosin9130_black0","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.","$UNT$Black painted Sawed-off Mosin 91/30 military rifle.",

"str_iz_cfgweapons_ruger10220","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22","$UNT$Sporter 22",
"str_iz_cfgweapons_ruger10221","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.",

"str_iz_cfgweapons_ruger1022_green0","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular green painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.",
"str_iz_cfgweapons_ruger1022_black0","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.","$UNT$A popular black painted rifle its low cost, slight recoil, and small noise signature makes it a great choice for firearms training, small-game hunting, and recreational shooting.",

"str_iz_cfgweapons_repeater1","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.","$UNT$Legendary lever action rifle, a true cowboy's best companion. Uses .357 caliber ammunition.",
"str_iz_cfgweapons_repeater0","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater","$UNT$Repeater",

"str_iz_cfgweapons_pm73rak1","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.","$UNT$The Rak is a Polish submachine select-fire weapon that fires from an open bolt. Unlike Most SMGs firing from an open bolt position, the RAK features a reciprocating external breech bolt.",
"str_iz_cfgweapons_pm73rak0","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK","$UNT$PM73 RAK",

"str_iz_cfgweapons_mosin9130_green1","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.","$UNT$The Mosin 91/30 is a bolt-action, internal magazine-fed, military rifle, developed by the Imperial Russian Army in 90s, and used by the armed forces of the Russian Empire, the Soviet Union and various other nations. This is green painted.",
"str_iz_cfgweapons_mosin9130_green0","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130","$UNT$Mosin 9130",

